Timestamp, Message
2023/03/24 12:25:24,Resetting timeout to 12:26:14 PM
2023/03/24 12:25:24,Application Awake - version #2023.1.18
2023/03/24 12:25:24,Primary Display    App (screen dims): 1920 x 1080 (1.777778)   "Current Resolution": 1920 x 1080   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/03/24 12:25:24,Activated second display.   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/03/24 12:25:25,GameEvent raised: ConfigLoaded
2023/03/24 12:25:25,Initializing from myWebCamTextureToMatHelper...
2023/03/24 12:25:25,Successfully found correct camera.
2023/03/24 12:25:25,NEW webCamTexture ID: -136
2023/03/24 12:25:25,Resetting update count...
2023/03/24 12:25:25,Setting should be playing to true...
2023/03/24 12:25:25,WebCamTextureToMatHelper: Devicename:HD Pro Webcam C920 name: width:640 height:480 fps:60 videoRotationAngle:0 videoVerticallyMirrored:False isFrongFacing:True
2023/03/24 12:25:25,Calling OnWebCamTextureToMatHelperInitialized...
2023/03/24 12:25:25,OnWebCamTextureToMatHelperInitialized. Screen.width 1920 Screen.height 1080 Screen.orientation Portrait
2023/03/24 12:25:25,GameEvent raised: WebcamTextureToMatHelperInitialized
2023/03/24 12:25:25,Resetting update count...
2023/03/24 12:26:14,Resetting timeout to 12:26:29 PM
2023/03/24 12:26:14,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 1448; shouldBePlaying: True; saved webCamTextureID: -136; current ID: -136; lastUpdateCount: -1
2023/03/24 12:26:29,Resetting timeout to 12:26:44 PM
2023/03/24 12:26:29,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 1898; shouldBePlaying: True; saved webCamTextureID: -136; current ID: -136; lastUpdateCount: 1448
2023/03/24 12:26:44,Resetting timeout to 12:26:59 PM
2023/03/24 12:26:44,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 2348; shouldBePlaying: True; saved webCamTextureID: -136; current ID: -136; lastUpdateCount: 1898
2023/03/24 12:26:59,Resetting timeout to 12:27:14 PM
2023/03/24 12:26:59,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 2798; shouldBePlaying: True; saved webCamTextureID: -136; current ID: -136; lastUpdateCount: 2348
2023/03/24 12:27:15,Resetting timeout to 12:27:30 PM
2023/03/24 12:27:15,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 3241; shouldBePlaying: True; saved webCamTextureID: -136; current ID: -136; lastUpdateCount: 2798
2023/03/24 12:27:30,Resetting timeout to 12:27:45 PM
2023/03/24 12:27:30,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 3690; shouldBePlaying: True; saved webCamTextureID: -136; current ID: -136; lastUpdateCount: 3241
2023/03/24 12:27:45,Resetting timeout to 12:28:00 PM
2023/03/24 12:27:45,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 4141; shouldBePlaying: True; saved webCamTextureID: -136; current ID: -136; lastUpdateCount: 3690
